Key,SourceString
PT_AOE_HEAVY_RL5_NAME,AOE Heavy Rocket Launcher 5
PT_AOE_HEAVY_RL10_NAME,AOE Heavy Rocket Launcher 10
PT_AOE_HEAVY_RL15_NAME,AOE Heavy Rocket Launcher 15
PT_AOE_HEAVY_RL20_NAME,AOE Heavy Rocket Launcher 20
PT_AOE_HEAVY_RL5_SHORT_NAME,AOE Heavy Rocket 5
PT_AOE_HEAVY_RL10_SHORT_NAME,AOE Heavy Rocket 10
PT_AOE_HEAVY_RL15_SHORT_NAME,AOE Heavy Rocket 15
PT_AOE_HEAVY_RL20_SHORT_NAME,AOE Heavy Rocket 20
PT_AOE_HEAVY_RL5_DESC,One-shot missile system with integrated ammo that fires 5 unguided high explosive missiles. Can not be upgraded.
PT_AOE_HEAVY_RL10_DESC,One-shot missile system with integrated ammo that fires 10 unguided high explosive missiles. Can not be upgraded.
PT_AOE_HEAVY_RL15_DESC,One-shot missile system with integrated ammo that fires 15 unguided high explosive missiles. Can not be upgraded.
PT_AOE_HEAVY_RL20_DESC,One-shot missile system with integrated ammo that fires 20 unguided high explosive missiles. Can not be upgraded.
PT_CHAIN_CANNON_NAME,Chain Cannon
PT_CHAIN_CANNON_DESC,"A rapid fire, short range weapon system allowing for overwhelming fire dominance, the Chaincannon operates like a BattleMech-scale automatic grenade launcher, lobbing high explosive shells by the volley."
PT_HEAVY_RL5_NAME,Heavy Rocket Launcher 5
PT_HEAVY_RL10_NAME,Heavy Rocket Launcher 10
PT_HEAVY_RL15_NAME,Heavy Rocket Launcher 15
PT_HEAVY_RL20_NAME,Heavy Rocket Launcher 20
PT_HEAVY_RL5_SHORT_NAME,Heavy Rocket 5
PT_HEAVY_RL10_SHORT_NAME,Heavy Rocket 10
PT_HEAVY_RL15_SHORT_NAME,Heavy Rocket 15
PT_HEAVY_RL20_SHORT_NAME,Heavy Rocket 20
PT_HEAVY_RL5_DESC,One-shot missile system with integrated ammo that fires 5 unguided missiles. Can not be upgraded.
PT_HEAVY_RL10_DESC,One-shot missile system with integrated ammo that fires 10 unguided missiles. Can not be upgraded.
PT_HEAVY_RL15_DESC,One-shot missile system with integrated ammo that fires 15 unguided missiles. Can not be upgraded.
